id,用户,内容,属性,状态,IP,时间,排序,类型,审核管理员,话题
"327007","    Aff：496170298 , 生动方航空 Vip：undefined 余额：0  |  收益：0  认证：否     "," 帮换脸ai图文与视频都可以 #AI换脸  换脸图和视频，有偿，看第一个作品 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：119.133.3.191  城市：广东 "," 创：2026-04-03 22:36:42 改：2026-04-03 22:36:42 ","0","文字","(id: 0)","AI换脸"
"327006","    Aff：499256646 , 伶俐向牛排 Vip：undefined 余额：1  |  收益：0  认证：否     "," 复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！
永久免费吃瓜App下载地址  https: #达人原创  复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！永久免费吃瓜App下载地址https://5.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：123.139.80.10  城市：陕西 "," 创：2026-04-03 22:36:40 改：2026-04-03 22:36:40 ","0","文字","(id: 0)","达人原创"
"327005","    Aff：352842358 , 拼搏方香菇 Vip：undefined 余额：0  |  收益：0  认证：否     "," 青岛大学生，无套内射 #达人原创  青岛工程职业学院的副班长张雯璐，虽然在学校有男朋友，但还是抵不住刺激，经常背着她男朋友出来约炮，黑丝.... "," 图片：11  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：140.250.232.96  城市：山东 "," 创：2026-04-03 22:36:23 改：2026-04-03 22:36:23 ","0","视频","(id: 0)","达人原创"
"327004","    Aff：302106048 , 艹死肖子怡 Vip：undefined 余额：0  |  收益：0  认证：否     "," 大哥们帮我脱掉我身边的母狗 做爱喜欢拍视频 还爱当小三 #AI女友  大哥们帮我脱掉我身边的母狗 做爱喜欢拍视频 还爱当小三 "," 图片：5  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：123.138.183.118  城市：陕西 "," 创：2026-04-03 22:30:59 改：2026-04-03 22:30:59 ","0","图片","(id: 0)","AI女友"
"327003","    Aff：501849003 , 清秀迎乌龟 Vip：undefined 余额：0  |  收益：0  认证：否     "," 有母狗和伪娘想被调教的吗 #原创视频  有母狗和伪娘想被调教的吗 "," 图片：1  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.8.240.205  城市：河北 "," 创：2026-04-03 22:30:31 改：2026-04-03 22:30:31 ","0","视频","(id: 0)","原创视频"
"327002","    Aff：385790203 , 敏感小丸子 Vip：undefined 余额：0  |  收益：0  认证：否     "," 复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！ 永久免费吃瓜App下载地址  https: #抖音热门  复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！永久免费吃瓜App下载地址https://5.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.225.215.218  城市：山东 "," 创：2026-04-03 22:30:01 改：2026-04-03 22:30:01 ","0","文字","(id: 0)","抖音热门"
"327001","    Aff：471985844 , 贪玩小笼包 Vip：undefined 余额：0  |  收益：0  认证：否     "," 复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！
永久免费吃瓜App下载地址  https: #成人小说  复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！永久免费吃瓜App下载地址https://5.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：27.192.181.118  城市：山东 "," 创：2026-04-03 22:29:15 改：2026-04-03 22:29:15 ","0","文字","(id: 0)","成人小说"
"327000","    Aff：310300880 , 饱满闻西牛 Vip：undefined 余额：16  |  收益：0  认证：否     "," 复制网址到自带浏览器打开观看
高潮瞬间视频大合集 第十四弹 多位饥渴欲女拜倒雄根之下 娇躯痉挛乱颤 #原创视频  复制网址到自带浏览器打开观看高潮瞬间视频大合集第十四弹多位饥渴欲女拜倒雄根之下娇躯痉挛乱颤淫语尖叫不.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.216.110.183  城市：河南 "," 创：2026-04-03 22:25:48 改：2026-04-03 22:25:48 ","0","文字","(id: 0)","原创视频"
"326999","    Aff：506666619 , 英勇芒果 Vip：undefined 余额：0  |  收益：0  认证：否     "," 有母狗吗，太想插母狗了 #达人原创  有母狗吗，太想插母狗了 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：211.90.251.78  城市：浙江 "," 创：2026-04-03 22:25:31 改：2026-04-03 22:25:31 ","0","图片","(id: 0)","达人原创"
"326998","    Aff：400137674 , 虚心给尊云 Vip：undefined 余额：0  |  收益：0  认证：否     "," 都有货的话吃吃吃吃金夫人 #达人原创  服服服 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：115.201.71.237  城市：浙江 "," 创：2026-04-03 22:24:49 改：2026-04-03 22:24:49 ","0","文字","(id: 0)","达人原创"
